Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F5,male,CD,2.51,9.790936151,17.88758094,26.17402533
F5,male,CD,2.54,11.26275588,13.98573477,22.88362861
F5,male,HSD,2.47,6.639735317,23.1370825,22.48118195
F5,male,HSD,2.43,6.766602781,10.9580585,24.62433718
F5,male,HSD,2.39,7.827938594,15.35680923,20.33185116
F5,male,HSD,2.61,8.173761486,17.35991514,27.46038493
F5,male,HSD,2.49,7.841418399,16.41064616,34.1990636
F5,male,HSD,2.51,7.552248922,18.82975821,23.04683157
F5,male,HSD,2.55,6.483721231,16.23884668,27.35399413
F5,male,HSD,2.46,7.131733201,14.75554927,23.23030449
F5,male,HSD,2.48,7.20547206,16.68289592,43.00127836
F5,male,HSD,2.48,7.496795065,20.21101876,27.87102249
F5,male,HSD,2.59,10.21439582,22.93395591,18.95949622
F5,male,HSD,2.38,16.89296009,11.75022845,28.25564318
F5,female,NSD,3.9,6.067669772,12.74387594,51.3172313
F5,female,NSD,3.93,12.74271258,17.54165702,71.00709811
F5,female,NSD,3.84,12.20717437,19.54407992,66.86344524
F5,female,NSD,3.79,8.578309698,13.42995797,32.46542346
F5,female,NSD,3.58,6.282267886,18.07021978,30.1173844
F5,female,NSD,3.75,7.969542819,15.12818535,30.12097783
F5,female,NSD,3.78,11.93821056,19.7283962,49.0221807
F5,female,NSD,3.99,11.4269984,14.37352546,32.78018224
F5,female,NSD,3.44,11.54996857,26.18147104,70.42752559
F5,female,NSD,3.6,10.56492941,17.03259576,41.07998717
F5,female,NSD,3.95,11.11020956,31.18357053,51.6762789
F5,female,NSD,3.67,9.292514256,15.02396463,27.45294356
F5,female,LSD,4.05,13.47226257,17.79244605,64.52033568
F5,female,LSD,3.81,8.194484797,12.19520008,16.33808672
F5,female,LSD,3.78,9.77781813,16.10790957,30.73400587
F5,female,LSD,4.05,10.16670702,14.84250304,29.8682272
F5,female,LSD,3.96,11.25004035,24.45897667,24.55266096
F5,female,LSD,3.63,9.083373686,17.71347595,36.25729545
F5,female,LSD,3.93,14.33337369,19.64863284,23.84303828
F5,female,LSD,3.87,11.36115146,14.49601945,22.46701273
F5,female,LSD,3.89,13.80559591,24.36101334,32.86655085
F5,female,LSD,3.92,13.75004035,20.56322243,50.83861054
F5,female,LSD,4.07,13.05559591,17.87315079,35.88275407
F5,female,LSD,3.98,14.6944848,21.64987447,45.02458188
F5,female,CD,3.87,11.44862963,17.30532489,52.30916281
F5,female,CD,3.51,6.88919165,14.51160502,31.20979881
F5,female,CD,3.32,12.36308371,18.75422339,23.5579456
F5,female,CD,3.44,11.95290294,20.70916596,42.72206684
F5,female,CD,3.48,9.483525824,20.9308952,28.87835202
F5,female,CD,3.48,14.25590635,32.09057523,33.18119883
F5,female,CD,3.59,12.89264301,33.86780168,17.79693171
F5,female,CD,3.66,12.76613677,17.99622253,25.92626725
F5,female,CD,3.69,17.00828706,31.52776104,52.58306231
F5,female,CD,3.77,14.38548467,47.35148465,46.34990535
F5,female,CD,3.91,13.05632294,20.90139526,24.31691194
F5,female,CD,3.43,14.02033976,21.0554439,15.91105806
F5,female,HSD,3.85,12.37202132,NA,51.38577111
F5,female,HSD,3.71,11.16855701,NA,39.75983443
F5,female,HSD,3.64,12.72205932,NA,23.19896999
F5,female,HSD,3.77,12.43896119,NA,42.23600859
F5,female,HSD,3.76,13.68633951,NA,24.67553833
F5,female,HSD,3.66,9.870730202,NA,37.56637498
F5,female,HSD,3.48,15.09964894,NA,15.58992578
F5,female,HSD,3.65,9.765687135,NA,28.92671689
F5,female,HSD,3.7,14.6371043,21.53298762,54.95424508
F5,female,HSD,3.77,15.99545404,31.99695404,44.73993599
F5,female,HSD,3.72,14.3580191,24.20191526,23.01521578
F5,female,HSD,3.67,13.50263575,20.08009868,16.42876207
