Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F1,CD,male,2.51,7.566934899,18.1055178,16.35261485
Main,F1,CD,male,2.57,8.056675098,7.796914044,22.99750335
Main,F1,CD,male,2.51,10.98139944,13.82966058,24.23131021
Main,F1,CD,male,2.44,8.036506209,5.929494305,23.25253626
Main,F1,CD,male,2.65,5.137531364,2.161032208,23.41033029
Main,F1,CD,male,2.49,9.493150841,3.302579854,17.538186
Main,F1,CD,male,2.64,7.473607696,7.248748935,16.4716172
Main,F1,CD,male,2.62,7.815208217,10.2758248,17.11614654
Main,F1,CD,male,2.64,7.566852933,6.523885424,20.57270761
Main,F1,CD,male,2.49,8.309447279,8.560296876,20.84968162
Main,F1,CD,male,2.61,8.799873064,14.38080865,23.35033238
Main,F1,CD,male,2.64,8.447798388,7.065103345,24.22060324
Main,F1,CD,female,3.57,11.37402149,13.73129367,13.46524889
Main,F1,CD,female,3.63,13.85009002,16.31854059,24.81766262
Main,F1,CD,female,3.7,13.91248557,17.46972473,20.20506339
Main,F1,CD,female,3.46,10.94272547,15.29153213,11.36350153
Main,F1,CD,female,3.49,10.89742219,13.44572415,11.95597977
Main,F1,CD,female,3.47,11.60471351,15.90436137,24.70998154
Main,F1,CD,female,3.54,14.67007786,11.94200529,13.82813499
Main,F1,CD,female,3.69,10.30537433,10.57153472,8.890930886
Main,F1,CD,female,3.27,10.5081788,12.23213937,11.84737323
Main,F1,CD,female,3.37,11.46860535,25.6854253,21.99967302
Main,F1,CD,female,3.5,12.22229887,14.31116665,10.86012251
Main,F1,CD,female,3.6,6.979180548,6.617984057,11.4568124
Main,F1,CD,female,3.7,7.961357608,8.11464376,18.55111378
Main,F1,CD,female,3.93,16.28603793,8.793645065,24.11456033
Main,F1,CD,female,3.47,13.78057627,22.87758258,39.55817616
Main,F1,CD,female,3.56,14.90113576,15.27919597,22.37815814
Main,F1,CD,female,3.63,7.744783258,23.71226098,20.67850529
Main,F1,CD,female,3.42,15.47812791,22.7730357,30.63414562
Main,F1,CD,female,3.71,9.230072238,23.71449066,31.07961938
Main,F1,CD,female,3.48,9.567137256,19.02992892,32.14527507
Main,F1,CD,female,3.52,10.48360506,24.88496544,15.64114285
Main,F1,CD,female,3.47,9.305918202,12.73635841,20.53439391
Main,F1,CD,female,3.44,6.75088393,10.18430021,18.77222568
Main,F1,CD,female,3.46,10.40083457,11.4998172,27.69222358
Main,F1,CD,female,3.54,12.66411833,16.82311701,31.31025372
Main,F1,CD,female,3.49,9.452660394,12.20132709,27.86172543
Main,F1,CD,female,3.66,11.20757509,9.682482461,26.85445947
Main,F1,CD,female,3.31,9.385260662,0,17.35512217
Main,F1,CD,female,3.55,9.740858056,8.631186098,22.95381747
Main,F1,CD,female,3.44,14.02033659,7.762415875,27.79213785
Main,F1,CD,female,3.89,11.81765381,10.75849239,48.19322934
Main,F1,CD,female,3.77,12.76681584,13.44665583,42.26609729
Main,F1,CD,female,3.72,14.67795918,10.29690372,45.34884081
Main,F2,NSD,male,2.49,9.053727053,13.97420746,21.62231844
Main,F2,NSD,male,2.31,5.224628155,14.38885282,12.17607325
Main,F2,NSD,male,2.47,7.871398362,18.58943834,10.77381119
Main,F2,NSD,male,2.65,6.214017744,14.42624058,17.38920594
