Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F1,LSD,male,15,2.39,7.765919624,11.22589339,11.67448607,2.47,36.32515993,NA,NA
F1,LSD,male,16,2.54,9.533222583,7.941938746,14.19819372,2.41,39.56519433,NA,NA
F1,LSD,male,17,2.43,9.323542536,12.50013589,17.48667615,2.49,38.82041286,NA,NA
F1,LSD,male,18,2.55,7.995649414,11.01185805,21.00311204,2.61,68.43515565,NA,NA
F1,LSD,male,19,2.62,11.31398416,10.45161994,21.68853414,2.65,40.16717707,NA,NA
F1,LSD,male,20,2.62,9.093073064,14.86722033,19.75091524,2.72,45.3852519,NA,NA
F1,LSD,male,21,2.38,10.47147477,12.70193759,16.10380386,2.76,74.70193682,NA,NA
F1,LSD,male,22,2.57,11.3037087,10.52992765,22.36097492,2.75,74.19350402,NA,NA
F1,LSD,male,23,2.55,11.49987606,12.51038459,27.31052091,2.43,43.54494317,NA,NA
F1,LSD,male,24,2.52,7.860182571,9.481928766,20.94524184,2.66,51.29922497,NA,NA
F1,LSD,male,25,2.76,11.34795801,12.353973,28.00911743,2.47,50.45441934,NA,NA
F1,LSD,male,26,2.62,11.16798535,15.15423389,25.48187819,2.58,75.84050535,NA,NA
F1,LSD,male,27,2.71,7.13646029,10.89169419,12.87626961,2.33,62.3413325,NA,NA
F1,LSD,male,28,2.5,8.280877738,6.711690564,17.84443278,2.77,52.18376202,NA,NA
F1,LSD,male,29,2.36,8.461355471,7.660361638,18.18806789,2.55,40.95252469,NA,NA
F1,LSD,male,30,2.52,8.212410923,6.084223886,30.98749467,2.48,16.65415108,NA,NA
F1,LSD,male,31,2.59,9.494124434,6.621568324,25.43877973,2.83,35.93782284,NA,NA
F1,LSD,male,32,2.45,7.785809908,12.66905825,23.72670387,3.01,62.47419038,NA,NA
F1,LSD,male,33,2.46,7.449992311,7.219913147,21.55404649,2.58,57.36052597,NA,NA
F1,LSD,female,1,3.4,10.91158549,9.40034788,23.11876641,3.85,64.12427464,1.04,17
F1,LSD,female,2,3.48,14.48752948,21.45614957,26.34150017,3.86,87.86836378,1.29,121
F1,LSD,female,3,3.43,10.9390078,9.483580833,20.36881818,3.54,99.70226182,1.07,89
F1,LSD,female,4,3.47,12.02323172,5.907701496,20.86263027,3.41,53.72929651,1.16,26
F1,LSD,female,5,3.49,13.21767619,14.7565229,29.78655414,3.75,103.7573455,1.12,175
F1,LSD,female,6,3.37,9.427353991,6.686149073,16.31126656,4.04,91.61341961,1.3,97
F1,LSD,female,7,3.29,12.31454505,8.041854651,7.978343706,3.72,41.84712793,0.65,18
F1,LSD,female,8,3.29,15.36654431,24.37873552,28.61623353,3.65,90.31429694,1.34,34
F1,LSD,female,9,3.41,9.180260039,0.959727296,6.081920688,3.27,89.52944675,1.04,24
F1,LSD,female,10,3.39,10.9326272,21.41701225,12.78664052,3.6,80.63098093,1.19,124
F1,LSD,female,11,3.39,15.18926828,19.29672008,19.24641108,3.62,104.9946786,1.05,135
F1,LSD,female,12,3.33,12.06215966,14.5725985,17.17493483,3.51,100.29671,1.23,128
F1,LSD,female,13,3.13,17.16031922,16.62479998,19.89154717,3.83,124.5163117,1.44,162
F1,LSD,female,14,3.69,19.77632976,20.58360539,28.51827851,3.67,123.8069779,1.09,180
F1,LSD,female,15,3.22,13.80561664,6.43444689,18.61202469,3.72,114.4620807,1.2,195
F1,LSD,female,16,3.49,13.70473807,11.48219617,21.14286678,3.53,90.91764442,1.09,104
F1,LSD,female,17,3.52,14.51237997,10.58463875,33.74428991,3.62,124.6463195,1.2,176
F1,LSD,female,18,3.62,11.62296134,18.2823917,27.71802768,3.4,126.8686959,1.27,179
F1,LSD,female,19,3.61,16.55161487,18.89594011,23.43512756,3.36,101.1777061,1.02,108
F1,LSD,female,20,3.42,13.49672954,14.39402935,29.53113298,3.88,121.1475909,0.89,3
F1,LSD,female,21,3.74,20.38080937,23.32642048,28.96386691,3.73,99.09261231,1,61
F1,LSD,female,22,3.61,14.98754565,13.32636898,32.63379334,3.37,101.0108647,1.34,85
F1,LSD,female,23,3.63,15.51837344,10.2288187,34.17113132,3.51,78.5930467,1.07,109
F1,LSD,female,24,3.42,15.36236726,7.420042296,30.09394769,3.78,123.3731965,1.33,72
F1,LSD,female,25,3.6,19.88526315,11.46434234,42.15735101,3.2,36.79318276,1.08,89
F1,LSD,female,26,3.61,13.50215052,9.559563279,43.61766467,3.74,118.8800363,1.1,32
F1,LSD,female,27,3.82,10.8677626,8.910754897,33.80057989,3.85,89.26502944,1.23,135
F1,LSD,female,28,3.87,8.898944908,5.960459012,26.84014215,3.7,49.33020781,1.18,0
F1,LSD,female,29,3.59,9.561911861,9.80921911,24.14418797,3.41,109.0073276,1.15,117
F1,LSD,female,30,3.63,13.51204167,13.43531541,32.60568036,3.43,32.74811,1.37,102
F1,LSD,female,31,3.63,11.31604665,11.86720789,30.60907032,3.55,85.39683026,NA,NA
F1,LSD,female,32,3.76,12.98101286,7.594720809,25.4616412,3.75,111.0955706,NA,NA
F1,LSD,female,33,3.75,12.82603661,11.42028812,30.21359859,3.5,94.20877446,NA,NA
F1,HSD,male,1,2.61,7.101418099,5.221602095,3.271930678,2.54,36.29696526,NA,NA
F1,HSD,male,2,2.62,8.081901553,7.821380925,19.28968725,2.41,46.61691372,NA,NA
F1,HSD,male,3,2.53,8.445223177,9.479889074,11.68221845,2.6,33.18357426,NA,NA
F1,HSD,male,4,2.56,6.146461202,11.27280152,3.426519788,2.61,44.1754078,NA,NA
F1,HSD,male,5,2.48,4.181466718,10.71201926,15.19168352,2.5,59.18344264,NA,NA
