Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F1,LSD,male,19,2.62,10.4703,6.8884,22.0904,2.65,40.16717707,15.21511056,NA,NA
F1,LSD,male,20,2.62,8.184,11.3025,19.2956,2.72,45.3852519,14.98690802,NA,NA
F1,LSD,male,21,2.38,9.603,9.1692,16.1805,2.76,74.70193682,17.00935723,NA,NA
F1,LSD,male,22,2.57,10.4597,6.9698,22.7589,2.75,74.19350402,35.77470074,NA,NA
F1,LSD,male,23,2.55,10.635,11.8857,13.7495,2.43,43.54494317,37.50448862,NA,NA
F1,LSD,male,24,2.52,6.7986,8.9753,9.7074,2.66,51.29922497,14.65029176,NA,NA
F1,LSD,male,25,2.76,10.4749,11.7334,14.5617,2.47,50.45441934,15.99220196,NA,NA
F1,LSD,male,26,2.62,10.2852,14.6214,12.1112,2.58,75.84050535,25.79510335,NA,NA
F1,LSD,male,27,2.71,6.0357,10.4644,1.9831,2.33,62.3413325,29.14333619,NA,NA
F1,LSD,male,28,2.5,7.242,6.1047,6.2719,2.77,52.18376202,43.07723342,NA,NA
F1,LSD,male,29,2.36,7.4322,7.0697,6.5009,2.55,40.95252469,98.95031934,NA,NA
F1,LSD,male,30,2.52,7.1698,5.4637,19.6874,2.48,16.65415108,67.60890915,NA,NA
F1,LSD,male,31,2.59,8.5208,5.9447,13.1862,2.83,35.93782284,56.88690978,NA,NA
F1,LSD,male,32,2.45,6.7202,12.2551,12.5866,3.01,62.47419038,24.38504839,NA,NA
F1,LSD,male,33,2.46,6.3662,6.6732,10.6009,2.58,57.36052597,22.20246339,NA,NA
F1,LSD,female,1,3.4,9.9925,9.8517,29.4849,3.85,64.12427464,13.30095613,1.04,17
F1,LSD,female,2,3.48,13.6677,21.3487,33.5833,3.86,87.86836378,23.61946213,1.29,121
F1,LSD,female,3,3.43,10.0206,9.9306,26.7416,3.54,99.70226182,34.35859394,1.07,89
F1,LSD,female,4,3.47,11.135,6.1853,27.501,3.41,53.72929651,23.10602503,1.16,26
F1,LSD,female,5,3.49,12.3626,14.8475,36.7174,3.75,103.7573455,73.19761664,1.12,175
F1,LSD,female,6,3.37,8.467,7.3694,22.3139,4.04,91.61341961,24.43664246,1.3,97
F1,LSD,female,7,3.29,11.4344,8.274,14.688,3.72,41.84712793,21.20356357,0.65,18
F1,LSD,female,8,3.29,14.5712,24.134,36.0733,3.65,90.31429694,25.30894124,1.34,34
F1,LSD,female,9,3.41,8.213,4.0988,12.024,3.27,89.52944675,29.48563634,1.04,24
F1,LSD,female,10,3.39,10.0141,21.865,19.1579,3.6,80.63098093,27.67702577,1.19,124
F1,LSD,female,11,3.39,14.389,19.0796,26.6601,3.62,104.9946786,39.55643484,1.05,135
F1,LSD,female,12,3.33,11.2405,11.313,17.8656,3.51,100.29671,37.86211558,1.23,128
F1,LSD,female,13,3.13,16.4886,14.0273,22.5499,3.83,124.5163117,42.46613845,1.44,162
F1,LSD,female,14,3.69,19.1815,18.4829,32.1863,3.67,123.8069779,46.9720301,1.09,180
F1,LSD,female,15,3.22,13.0352,2.9234,19.9756,3.72,114.4620807,44.16557019,1.2,195
F1,LSD,female,16,3.49,12.9313,8.2331,22.4675,3.53,90.91764442,35.81113904,1.09,104
F1,LSD,female,17,3.52,13.7627,7.3743,35.3806,3.62,124.6463195,46.56502069,1.2,176
F1,LSD,female,18,3.62,10.7883,15.1758,28.2392,3.4,126.8686959,53.46810337,1.27,179
F1,LSD,female,19,3.61,15.862,16.3554,25.8586,3.36,101.1777061,41.99148484,1.02,108
F1,LSD,female,20,3.42,12.7172,11.2798,30.7755,3.88,121.1475909,37.59788092,0.89,3
